draw,entry,eci
2,phi-2 [Pretrained (PT)],108.88862536850684
2,phi-4 [Pretrained (PT)],127.5736100993071
3,Gemma 1.1 2B IT [Instruction-tuned (IT)],85.57935687232956
3,Gemma 1.1 7B IT [Instruction-tuned (IT)],105.21108398224123
3,Gemma 2 27B IT [Instruction-tuned (IT)],122.29084635008616
3,Gemma 2 27B [Pretrained (PT)],117.29655312613167
3,Gemma 2 2B IT [Instruction-tuned (IT)],109.58703284706533
3,Gemma 2 2B [Pretrained (PT)],97.29848397018155
3,Gemma 2 9B IT [Instruction-tuned (IT)],118.55379973151558
3,Gemma 2 9B [Pretrained (PT)],113.99190181587468
3,Gemma 2B IT [Instruction-tuned (IT)],85.24999656856298
3,Gemma 2B [Pretrained (PT)],91.31912323327754
3,Gemma 3 12B IT [Instruction-tuned (IT)],130.17622738163482
3,Gemma 3 12B [Pretrained (PT)],114.32606100279186
3,Gemma 3 1B IT [Instruction-tuned (IT)],96.32950987160996
3,Gemma 3 1B [Pretrained (PT)],78.12742549476039
3,Gemma 3 27B IT [Instruction-tuned (IT)],131.585738953747
3,Gemma 3 27B [Pretrained (PT)],119.79265927365323
3,Gemma 3 4B IT [Instruction-tuned (IT)],121.19382860205097
3,Gemma 3 4B [Pretrained (PT)],104.0159105120718
3,Gemma 3n E2B IT [Instruction-tuned (IT)],112.38973327467673
3,Gemma 3n E2B [Pretrained (PT)],98.24621189379904
3,Gemma 3n E4B IT [Instruction-tuned (IT)],118.46481018204953
3,Gemma 3n E4B [Pretrained (PT)],106.0234775761704
3,"Gemma 4 12B [IT, Thinking mode]",142.78980691392235
3,"Gemma 4 26B A4B [IT, Thinking mode]",143.38190807982343
3,"Gemma 4 31B [IT, Thinking mode]",145.56121822748128
3,"Gemma 4 E2B [IT, Thinking mode]",132.0899236338403
3,"Gemma 4 E4B [IT, Thinking mode]",135.22895476596415
3,Gemma 7B IT [Instruction-tuned (IT)],101.97438762720228
3,Gemma 7B [Pretrained (PT)],107.49724652758013
3,Llama-2-13b-chat-hf [Instruct/chat],103.26488001742183
3,Llama-2-13b-hf [Pretrained (PT)],107.34007957146272
3,Llama-2-7b-chat-hf [Instruct/chat],101.64969637929148
3,Llama-2-7b-hf [Pretrained (PT)],97.1500729584379
3,Llama-3.1-8B [Pretrained (PT)],113.40937135680457
3,Llama-3.1-8B-Instruct [Instruct/chat],114.557389643013
3,Llama-3.2-1B [Pretrained (PT)],81.5924032701216
3,Llama-3.2-1B-Instruct [Instruct/chat],107.86956735828241
3,Llama-3.2-3B [Pretrained (PT)],104.51854497069654
3,Llama-3.2-3B-Instruct [Instruct/chat],119.58554980881689
3,Meta-Llama-3-8B [Pretrained (PT)],112.90188500117046
3,Meta-Llama-3-8B-Instruct [Instruct/chat],115.3371174275403
3,OLMo-1B-hf [Pretrained (PT)],85.84502646018527
3,OLMo-2-1124-7B-Instruct [Instruct/chat],114.61221362997063
3,OLMo-7B-Instruct-hf [Instruct/chat],101.50098155424055
3,OLMo-7B-hf [Pretrained (PT)],96.88220341996904
3,OLMoE-1B-7B-0125-Instruct [Instruct/chat],117.33277233804185
3,OLMoE-1B-7B-0924 [Pretrained (PT)],93.69013813642266
3,OLMoE-1B-7B-0924-Instruct [Instruct/chat],108.07003050606845
3,Phi-3-medium-128k-instruct [Instruct/chat],122.46233976285166
3,Phi-3-medium-4k-instruct [Instruct/chat],122.47194957129003
3,Phi-3-mini-128k-instruct [Instruct/chat],116.64623709715424
3,Phi-3-mini-4k-instruct [Instruct/chat],117.99389588327803
3,Phi-3-small-128k-instruct [Instruct/chat],121.36878245436279
3,Phi-3-small-8k-instruct [Instruct/chat],118.71667469919612
3,Phi-3.5-mini-instruct [Instruct/chat],118.49692463137805
3,Phi-4-mini-instruct [Instruct/chat],118.2780717927951
3,Qwen-1.8B-Chat [Instruct/chat],95.42546387091586
3,Qwen-14B-Chat [Instruct/chat],107.91954747301602
3,Qwen-7B-Chat [Instruct/chat],102.6817307051425
